,snippet_x,category_id,snippet_y,filename,маркер,,Антонимы,Синонимы,Повторы,Гипонимы/гиперонимы,отрицание,позиция маркера,другое РО,жанр,,,
,"Во Франции это реформа, проведенная правительством Шарля де Голля, которая способствовала развитию билингвизма в стране и определила довольно мощные ассимиляционные процессы, заметно потеснившие правила консервативной нормы национального языка. Этнические французы уже не могут считать себя доминирующей категорией населения страны, сейчас расплачивающейся за бесконтрольный и не регулируемый со стороны государства поток иммигрантов из бывших колоний и стран третьего мира.",comparison_m,В России подобную роль сыграло снятие «железного занавеса» после распада Советского Союза.,ling_45.pkl,подобный,,нет,нет,нет,нет,нет,2,,наука,,,
,"До сих пор истории известны были два пути. Первый из них основывался на жестких запретах, жесткой директивной ориентации. Результат общеизвестен. Неумелая борьба привела к нарушению гармонии, а популярность низких проявлений массовой культуры и бытовой речи резко возросла. Второй путь противоположен первому - это вседозволенность, прячущаяся в одежды демократизации. Но и этот путь неотвратимо ведет к общему снижению культуры, к постепенному «оседанию культурной почвы».",comparison_m,"В. В. Химик [7, с. 49-50], отмечая, что снижение общей культуры ведет к снижению общего уровня речи, предлагает искать «третий путь». Это не административное противостояние и не попустительство и пассивное следование низкой стихии, а последовательное воспитание чувства меры и вкуса.",ling_45.pkl,nd,,да квази (запрет-воспитание),нет,нет,нет,да,nd,,наука,,,
,"Первый из них основывался на жестких запретах, жесткой директивной ориентации. Результат общеизвестен. Неумелая борьба привела к нарушению гармонии, а популярность низких проявлений массовой культуры и бытовой речи резко возросла. ",comparison_m,"Второй путь противоположен первому - это вседозволенность, прячущаяся в одежды демократизации. Но и этот путь неотвратимо ведет к общему снижению культуры, к постепенному «оседанию культурной почвы».",ling_45.pkl,противоположен,первый/второй;,"да (первый, второй)","да (первый, второй)",нет,нет,нет,2,,наука,,,
,"Прежде всего, в публичную речь входят ненормативные вариантные элементы, возникающие под влиянием нелитературного просторечия, диалектов и жаргонов, используются новые иностранные слова и термины (не всегда оправданно), и наконец, наблюдается стилистическое снижение современной устной и письменной речи, заметная вульгаризация бытовой сферы общения. Наблюдается тенденция к формированию у людей мнения об избыточности речевого этикета, его «условности» и ненужности в современном общении. Квазисвобода речи влияет не только на стилистическую окраску публичной речи, но и на семантическое содержание, заметно расшатывая систему тематических табу, существовавших ранее в публичной речи.",comparison_m,В разговорной речи значительно увеличивается степень публично допустимого.,ling_45.pkl,,увеличивается,да квази публичный-разговорный,нет,нет,нет,да не всегда,nd,антитеза публичная речь - разговорная речь,наука,,,
,В отдельных монографических работах представлен сопоставительный аспект изучения особенностей функционирования оценочной лексики в различных языках; ,comparison_m,В нашей работе также используется сопоставительный метод наряду с описательным.,ling_31.pkl,также,параллелизм,нет,нет,"да сопоставительный, работа",нет,,2,,наука,,,
,"Лексемам woman (женщина), cad (хам), beast (животное, скотина) в рассматриваемых переводах соответствуют неполные эквиваленты с частичной семантической потерей.",comparison_m,"На русский и французский языки при помощи полных эквивалентов переведены лексемы: mean (подлый), cruel (жестокий),despicable (презренный);",ling_31.pkl,,эквивалент,нет,нет,эквивалент,да рассматриваемый- в языке,нет,nd,,наука,,,
в контраст,"Если термины в разных языковых традициях (в нашем материале это русский, английский и французский языки) в целом совпадают,",comparison_m,"то различия в разговорном стиле, в том числе в разговорной и стилистически сниженной лексике, где оценочный компонент значения наиболее ярко проявляет свои особенности, касаются понятия (уровня) нормы, которое в исследуемых языках различно.",ling_31.pkl,если... то,,да (совпплать/различно),нет,нет,нет,нет,both,,наука,,,
,"Для отдельных переводов характерно наличие лакуны; так, в русском переводе отсутствует перевод лексемы cad, а во французском переводе лексемы vulgar. Прием стилистической субституции использован во французском переводе, т.е. оценочная лексема передана с использованием фразеологической единицы.",comparison_m,"На русский и французский языки при помощи полных эквивалентов переведены лексемы: mean (подлый), cruel (жестокий),despicable (презренный); лексемы heartless (бессердечный) и vulgar (вульгарный) переданы посредством полных эквивалентов только на русский язык. Лексемам woman (женщина), cad (хам), beast (животное, скотина) в рассматриваемых переводах соответствуют неполные эквиваленты с частичной семантической потерей.",ling_31.pkl,nd ,,да лакуна-полный эквивалет,да язык-перевод,нет,да отдельный- в языке,нет,nd,антитеза лакуна - полный эквивалент,наука,,,
,"В русской ономастике прозвище рассматривают как вид антропонима — дополнительное имя, данное человеку окружающими в соответствии с его характерной чертой, сопутствующими его жизни обстоятельствами или по какой- либо аналогии2.",comparison_m,"Иными словами, не существует единого мнения о том, что такое прозвище.",ling_39.pkl,nd ,,нет,нет,нет,нет,да,nd,,наука,,рестетмент,
,"другие — расплывчато-образны, допускают различные толкования ",comparison_m,или вообще не связаны с характеристиками человека.,ling_39.pkl,или,вообще,нет,нет,нет,нет,нет,2,,наука,,,
,В одних случаях функции такого прозвища может выполнить нарицательное наименование. ,comparison_m,В других случаях прозвища основаны на случайных признаках человека или разнообразных ассоциациях.,ling_39.pkl,в одних случаях… в других случаях,,да квази нарицтельный случайный,нет,да прозвище,нет,нет,both,,наука,,,
,"в русских сказках — Иван, Василиса, Варвара и т. п.)",comparison_m,"(в британских сказках — Tom, Jack, John;",ling_39.pkl,,параллелизм,нет,нет,да сказки,нет,нет,nd,,наука,,,
,"во французском предложении он включен вместе с Действием в единый концепт, вербализуемый глаголом.",comparison_m,"что в отличие от английского предложения,",ling_7.pkl,в отличие от X,параллелизм,нет,нет,нет,нет,нет,1,,наука,,,
,"С другой стороны, концепт, вербализуемый английским глаголом, включает в себя компонент Способ, ",comparison_m,а во французском варианте он выражен отдельным адвербиальным сочетанием.,ling_7.pkl,а,параллелизм,да глагол адвербальный,нет,нет,нет,нет,2,,наука,,,
,"С этой точки зрения интересно решение, найденное переводчиком Y. Успешно осмыслив указанное русское слово и столкнувшись с трудностями при нахождении английского прилагательного, способного актуализировать существенные концепты в общей концептуальной структуре слова, он пошел по пути слияния концептов. Найденное им английское сочетание drunken orgies актуализирует не только концепт ПЬЯНСТВО, но и все существенные концепты, объективируемые русским словом безобразный. Данный прием определяется нами как слияние в силу того, что концепт одного слова сливается с другим концептом (концептами) в единое целое, потому что в другом языке есть слово (словосочетание), способное объективировать эту совокупность концептов.",comparison_m,"Переводчик X пошел по пути расщепления концепта, актуализируемого указанным словом, и, выделив из него концепт ОСУЖДЕНИЕ, вербализовал его в английском тексте словом scandalous. Между тем, представляется, что среди концептов, входящих в структуру БЕЗОБРАЗНЫЙ, концепт ОСУЖДЕНИЕ не является определяющим. Более существенными представляются концепты БЕЗУДЕРЖНЫЙ, БЕСПОРЯДОЧНЫЙ.",ling_7.pkl,,параллельные конструкции: Переводчик X и  переводчик Y,нет,нет,"да концепт, переводчик",нет,нет,nd,,наука,,,
,"Эти ценные, богатые витаминами ягоды в Корее вообще не известны,",comparison_m,"«Подобно всем местным мальчишкам, Миша радовался каждодневному бытию: летом - солнцу и птицам, осенью - морошке и клюкве...»(Шуты императрицы).",ling_51.pkl,nd ,параллелизм,нет,нет,нет,нет,да,nd,,наука,,,
,"а рассматриваемые ниже фоновые единицы требуют изъяснения национально-культурного компонента, не совпадающих в русском и корейском языке семантических долей.",comparison_m,"Все приведенные безэквивалентные единицы нуждаются в лингвострановедческом толковании,",ling_51.pkl,а,параллельные конструкции,нет,да (нуждаться/требовать),да (единицы),нет,безэквивалентный,2,антитеза kингвострановедческом толковании - национально-культурного компонента,наука,,,
,"В Корее не существует дома, адекватного русской избе. Крестьяне строят дома из соломы «Чёга», только одноэтажные с отоплением под полом.",comparison_m,"Приведем примеры (частично): «Онрос на деревенской улице, а в непогожие дни сидел в теплой избе, что-то мастерил слушал сказки» (Шуты императрицы).",ling_51.pkl,адекватный,параллелизм,нет,нет,нет,нет,да,2,,наука,,,
,"В корейской бытовой культуре нет традиции солить огурцы, В салате «Оигимчи» используется посыпанные густо крупной солью огурцы вместе с красным перцем, чесноком и рыбным соусом, поэтому традиционные русские соленые огурцы мы рассматриваем как безэквивалентную единицу.",comparison_m,"«Зеленщик из деревни, привозивший на розвальнях квашеную капусту и соленые огуриы. молочница с жестяными бидонами, пахнущШ'Ш антоновским яблоком ...»(Тьма в конце тоннеля).",ling_51.pkl,nd ,,нет,нет,нет,нет,безэквивалентный,nd,антитеза бытовые традиции Кореи и России,наука,,,
в контраст,"Если при записи иноязычных слов в начале XIX в. старались сохранить оригинальное написание, ",comparison_m,то с середины века стремились отразить фонетическую передачу.,ling_12.pkl,если... то,,да (оригинальное написание/фонетическая передача),да сохранить-отразить,нет,нет,нет,both,временная антитеза,наука,,,
,"вербальный ее аспект - слово, часто - оним, словосочетание, предикативное выражение, текстовый фрагмент и целостный текст.",comparison_m,Когнитивный аспект прецедентности - типовая концептуальная структура ментальной репрезентации;,ling_21.pkl,,параллелизм,да квази вербальный-когнитивный,нет,да аспект,да фрагмент-структура,нет,nd,,наука,,,
,"С другой стороны, его можно изучать наряду с афоризмами и крылатыми выражениями.",comparison_m,"Парадокс рассматривают как стилистический прием, фигуру речи.",ling_58.pkl,с другой стороны,,нет,"да выражение-фигура речи, изучать-рассматроиваь",нет,нет,нет,2,,наука,,,
,"Парадокс в немецком же языке изучен мало, более того, возникает сложность и при попытке дать определение этому понятию.",comparison_m,"Но важно отметить, что все исследования парадокса в лингвистике проводились на базе русского и английского языков.",ling_58.pkl,же,"параллелизм, мало",нет,да изучен-исследования,да язык,нет,нет,2,,наука,,,
,"Другая группа ученых - О. К. Денисова, Т. Я. Семен, Н. Ю. Шпекторова считают, что парадокс - это стилистический прием и фигура речи. То есть это некая словесная композиция, которая противоречит здравому смыслу, это своеобразное мнение, которое резко расходится с общепринятым [7; 9; 11].",comparison_m,"В Большом энциклопедическом словаре (БЭС) парадокс - это неожиданное, непривычное, расходящееся с традицией утверждение, рассуждение или вывод [2]. Лингвисты В. В. Одинцов и В. Д. Девкин понимают под ним некое отклонение, идущее вразрез с регулярными положениями языка [6; 8, с. 15].",ling_58.pkl,другой X,,нет,да рассуждение-фигура речи,да парадокс,нет,нет,2,,наука,,,
,"другие же расплывчато-образны, допускают различные толкования или вообще не связаны с характеристиками человека.",comparison_m,Одни прозвища действительно называют какую-то черту характера или внешнюю примету;,ling_43.pkl,же,одни/другие;,да одни другие,да доупска толкование- называть,нет,нет,нет,both,,наука,,,
,По-русски же митинг - это только собрание.,comparison_m,"Например, англ. meeting - это «собрание, встреча, заседание».",ling_32.pkl,же,параллелизм,нет,да собрание заседание встреча,да собрание,нет,нет,2,,наука,,,
,по-русски же рекорд - это какое-то спортивное или другое достижение.,comparison_m,"Еще пример, англ. record - означает «рекорд, запись, летопись, протокол, грампластинка»,",ling_32.pkl,же,параллелизм,нет,нет,нет,нет,нет,2,,наука,,,
,В латинском же языке помнить.,comparison_m,"Еще пример, англ. record - означает «рекорд, запись, летопись, протокол, грампластинка»,",ling_32.pkl,же,,нет,да помнить-летопись,нет,нет,нет,2,,наука,,,
,"в русском языке это слово означает и помещение, и людей - слушателей,",comparison_m,"Например, слово «аудитория» - от латинского auditorium, in, означавшегося аудиторию, зал судебных заседаний, форум, школу, коллектив слушателей,",ling_32.pkl,,параллелизм,нет,да помещение-аудитория,нет,нет,нет,nd,,наука,,,
,"Другой пример - слово «документ», ведущее свое начало от латинского существительного documentum, i n, обозначавшего в древнем языке 1) поучение, пример, образец, предостережение, 2) свидетельство, доказательство. ",comparison_m,"В современном английском языке document - это документ, свидетельство,",ling_32.pkl,,параллелизм,нет,да документ образец,нет,нет,нет,nd,антитеза современный язык - латынь,наука,,,
,в первом же исконном латинском значении эти заимствованные слова не употребляются.,comparison_m,"Другой пример - слово «документ», ведущее свое начало от латинского существительного documentum, i n, обозначавшего в древнем языке 1) поучение, пример, образец, предостережение, 2) свидетельство, доказательство.",ling_32.pkl,же,,да первый-другой,нет,нет,нет,да ,2,,наука,,контраст и предикатное отрицание,
,"англ. decade - это десятилетие,",comparison_m,"Так, слово декада по -русски- 10 дней,",ling_32.pkl,,параллелизм,нет,нет,да декада -10 лет,нет,нет,nd,,наука,,,
,в английском же языке auditorium - это только помещение. Для перевода второго значения применяется слово audience.,comparison_m,"Например, слово «аудитория» - от латинского auditorium, in, означавшегося аудиторию, зал судебных заседаний, форум, школу, коллектив слушателей, в русском языке это слово означает и помещение, и людей - слушателей,",ling_32.pkl,же,параллелизм,нет,да помещение-аудитория,нет,нет,нет,2,,наука,,,
,"поскольку существование языка без его материального (фонетического или письменного выражения) невозможно,",comparison_m,как невозможно и продуцирование речи без наличия языковой системы как таковой.,ling_53.pkl,как... и,параллелизм,нет,нет,да невозможно,нет,нет,2,,наука,,,
,а языку лишь отчасти» [2].,comparison_m,"В целом информация присуща речи,",ling_53.pkl,а,"лишь,эллипсис",квази (язык/речь),нет,нет,нет,нет,2,антитеза речь-язык,наука,,,
в контраст,"С точки зрения языка здесь все правильно, ",comparison_m,а вот с точки зрения соотнесения объектов реального мира - нет.,ling_53.pkl,а вот,,да (правильно/нет),нет,нет,нет,да,2,антитеза язык-реальный мир,наука,,,
,и Алматы - столица Казахстана,comparison_m,Алма-Ата - столица Казахстана,ling_53.pkl,и,параллелизм,нет,нет,да,нет,нет,2,,наука,,,
,"Так, положения: Алма-Ата - столица Казахстана и Алматы - столица Казахстана - в общем истинны,",comparison_m,"а в частности - нет,",ling_53.pkl,а,эллипсис,нет,нет,нет,да (в общем истинны/в частности,да,2,,наука,,,
,"в свою очередь, более нестандартная (заимствованная) номинация абитуриент называет не очень многочисленную группу подростков, поступающих в высшее или среднее учебное заведение.",comparison_m,"в отношении подростка, выпускающегося из школы, закрепилась номинация выпускник, распространяющаяся на всех без исключения подростков, оканчивающих школу,",ling_53.pkl,в свою очередь,,нет,да абитуриент выпускник,нет,да немногочисленный - все,нет,2,антитеза речь-язык,наука,,,
,"а речь - это больше, чем использование средств языка.",comparison_m,"Следовательно, следует утверждать, что язык - это больше, чем отражение действительности в виде системы закодированных представлений об объектах окружающего мира в мышлении людей,",ling_53.pkl,а,,квази (язык/речь),нет,да (язы),нет,нет,2,антитеза речь-язык,наука,,,
,"Любая информация может быть истинной и ложной, и чем в большей степени происходит рост информации, тем в большей степени информация может быть охарактеризована как ложная или как истинная. Если связывать рост истинности-ложности информации с ее ростом, то следует признать, что язык в меньшей степени способен содержать в себе ложную информацию о мире, поскольку информативный аспект представлен в нем в статическом репрезентативном виде. Однако, хотя ложным язык как система быть не может, он может содержать в себе элементы ложной информации, пришедшей в язык через языковую практику и закрепленной в нем в виде стабильных языковых кодов.",comparison_m,"Основным же источником ложной информации является речь, которая, с одной стороны, связана с уровнем владения языка, с представлениями о нем, а с другой - с представлением о мире и его восприятием.",ling_53.pkl,же,,квази (язык/речь),да характеризовать-вопспринимать,"да информация, о мире и тд",да любой-основной,нет,2,антитеза истинный-ложный,наука,,,
,"Гиперссылки и аббревиатуры в постах женщин появлялись чаще, чем в мужских.",comparison_m,"Имена собственные, даты и цифры мужчины использовали чаще.",ling_19.pkl,,чаще параллелизм,нет,нет,нет,нет,нет,nd,антитеза мужское-женское,наука,,,
,"Мужчины больше олицетворяют себя с аудиторией, предпочитая личные местоимения множественного числа.",comparison_m,"Женщины акцентируют внимание на себе, используя в 1,2 раза чаще личные местоимения единственного числа.",ling_19.pkl,чаще,параллелизм,да (женщины/мужчины; единственное/множественное),нет,да (личное местоимение),ко аудитория-акцентировать,нет,nd,антитеза мужское-женское,наука,,,
,"Русские, как правило, оценивают сами себя чаще положительно, нежели отрицательно; ",comparison_m,"известно, что американцы склонны оценивать русских чаще негативно, нежели положительно или нейтрально.",ling_54.pkl,,параллелизм,да положительно-негативно,нет,нет,нет,нет,nd,антитеза американцы-русские,наука,,,
,"Такие же свойства оценки мы обнаруживаем в дискурсе современных американских СМИ: «...в американских фильмах русские изображаются или дураками, которые ничего не соображают, или опасными шпионами» [9].",comparison_m,Российский политический дискурс отличается безапелляционностью и негативностью оценок.,ling_54.pkl,такой же,параллелизм,нет,да дурак-негативная оценка,нет,нет,нет,2,,наука,,,
в контраст,"его интересовали уже христианские ценности, ",comparison_m,"тогда как ценности исламские (тюркские) занимали отнюдь не центральное место в общей картине мира, нарисованной этим писателем-философом.",ling_24.pkl,тогда как,"отнюдь не, уже",нет,,да,ко гип антитеза исламский - христианский,да,2,антитеза исламский - христианский,наука,,,
,"С другой стороны, для того чтобы творчество национального мастера, в частности, писателя, получило подлинно широкий общественный резонанс, оно должно было стать известным всесоюзному читателю. В немалой степени играло роль и то, что власти на местах и в центре придерживались зачастую различных взглядов на то же искусство, а потому не опубликованное из-за резкого сопротивления властей на местах произведение могло увидеть свет на русском языке в столице, чему способствовало существование таких журналов, как «Новый мир», «Знамя», «Москва», проводивших на определенных этапах существования независимую редакционную политику.",comparison_m,"С одной стороны, согласно указаниям из центра, развивалась культура на местах, каждый народ должен был иметь свою литературу, музыку, театр и т.д. Причем номенклатурное мышление не всегда учитывало именно реальную историю - отнюдь не у каждого народа имелось все разнообразие культурных форм (к слову, у тех же киргизов, народа с тысячелетней культурой, практически отсутствовал танец), некоторые были неорганичны или находились в зачаточном состоянии. Но подобным вещам попросту не придавалось значение.",ling_24.pkl,с одной стороны... с другой стороны,,квази бширный-на местах,нет,нет,нет,нет,both,антитеза национаьный-центральный,наука,,,
,что порядок слов подлежащее-сказуемое делает синтаксически,comparison_m,"Мертвая метафора делает семантически то,",ling_28.pkl,"то, что","делать то, что",нет,нет,да,когипон квази синтаксический-семантический,нет,1,антитеза семантически - синтаксически,наука,,,
,"тем большую силу они проявляют [3, с. 435].",comparison_m,"Наоборот, чем более очевидно, более естественно они появляются,",ling_28.pkl,чем… тем,,нет,да проявляться-появляться,нет,нет,нет,both,,наука,,,
,"как «мертвый попугай - это не попугай, а мертвый ключ от пианино все равно остается ключом и является метафорой» [9, p. 304].",comparison_m,"что мертвая метафора не является метафорой, если обладает характеристиками живучести,",ling_28.pkl,как,,да мертвый-живучесть,нет,нет,нет,да,2,,наука,,,
,"с другой стороны, о предельной экспрессивности его изложения, творческой манеры в целом:",comparison_m,"что свидетельствует, с одной стороны, о важности данной категории для мировосприятия автора,",ling_47.pkl,с одной стороны... с другой стороны,,квази мировосприятие-экспрессия,нет,нет,нет,нет,both,,наука,,,
,Ср. в жаргоне бурсы — Накормят тебя березовой кашей!,comparison_m,"тросо оАо ~ йауак уетек — доел, есть дерево (ср. жаргон русской бурсы съесть березовой каши, кушать побои, т.е. быть наказанным березовыми плетьми, быть битым.",ling_27.pkl,ср.,параллелизм,нет,нет,нет,нет,нет,2,,наука,,,
,как бы готовясь ударить.,comparison_m,"и слегка трясется,",ling_27.pkl,как бы,,нет,нет,нет,нет,нет,2,,наука,,ДЖОИНТ,
,то в турецком языке в самой сЬорме слова отражены его взаимосвязи с другими словами в предложении.,comparison_m,"Поэтому если в греческом языке для связи слов в предложении используются предлоги,",ling_27.pkl,если... то,параллелизм,нет,нет,да,нет,нет,both,,наука,,,
,"С конца XX - начала XXI в. наряду с прочно укрепившимися русизмами в ногайском языке стали употребляться «изгнанные» ранее арабо-фарсизмы. В качестве примеров приведем несколько слов: адабият - «литература», маданият - «культура», агза - «член», асар - «произведение», кафия - «рифма», мектеб - «школа» и многие другие [6, с. 120].",comparison_m,"Такие же явления мы наблюдаем и в русском языке. Так, в частности, в русский язык вернулись слова: губерния, губернатор, департамент, муниципалитет и т.д., казавшиеся ранее утраченными.",ling_50.pkl,такой же,"и, параллелизм",нет,да стали употреблятья- вернулись,да,нет,нет,2,,наука,,,
,которая в русской версии фильма получила название «Совершенно некстати» [15].,comparison_m,"Удачной переводческой находкой можно считать и название французской комедии «Comme un cheveu sur la soupe» - по аналогии с известным фразеологизмом Avoir un cheveu sur la langue [12, с. 301] - с Луи де Фюнесом в главной роли,",ling_42.pkl,nd,параллелизм,нет,нет,нет,нет,нет,nd,,наука,,,
,"Ученый обратил внимание на тот факт, что экспрессивность в русской фразе нередко выражается особой глагольной лексемой,",comparison_m,тогда как во французской - эквивалентный по смыслу глагол может оказаться стилистически нейтральным.,ling_42.pkl,тогда как,параллелизм,да особый-нейтральный,да выражаться оказаться,нет,нет,нет,2,,наука,,,
,"Во втором примере существительное reason выполняет номинативную функцию, субстантивируя событие, выраженное предикативной единицей.",comparison_m,В первом примере выражению причинных отношений сопутствует эмфаза с фреймом why — because.,ling_9.pkl,в первом X... во втором Y,параллелизм,первый-второй,да ,нет,нет,нет,both,,наука,,,
,"прозвища обычно даются за «что-то», по той или иной причине.",comparison_m,"В отличие от личных или фамильных имен, получаемых человеком при рождении как своеобразное наследство от родителей и присваиваемых, как правило, вне зависимости от его личных свойств,",ling_52.pkl,в отличие от X,параллелизм,нет,да давать-получать,нет,нет,нет,1,,наука,,да давать-получать,конверсивы в зеркальной позиции
,Доминирующую же часть составляют эмоциональные экспрессивные оценочные единицы.,comparison_m,Лишь некоторые из возникающих прозвищ принадлежат к ряду нейтральных единиц.,ling_52.pkl,же,,да экспрессивные-нейстральные,нет,нет,нет,нет,2,,наука,,,
,"Как и предыдущая модель, она имеет свои разновидности.",comparison_m,Второй по частотности структурой является структура n + n.,ling_52.pkl,как и,параллелизм,нет,нет,нет,нет,нет,2,,наука,,,
,"в то время как другая жительница той же деревни с тем же именем нарекается Timothy's Bess («Бесс из семьи Тимоти») для того,",comparison_m,"Одна из героинь получает прозвище Chad's Bess («Бесс из семьи Чэда»),",ling_52.pkl,в то время как,параллелизм,"да (первый, второй)",да квази героиня-жительница,нет,нет,нет,2,,наука,,,
,"Так же, как и в упомянутом случае, первый компонент в большей степени характеризует, а второй называет лицо.",comparison_m,Эта структура представляет своеобразную параллель со структурой adj + personal name.,ling_52.pkl,представлять собой параллель,,нет,нет,нет,нет,нет,2,,наука,,,
,"Эта структура представляет своеобразную параллель со структурой adj + personal name. Так же, как и в упомянутом случае, первый компонент в большей степени характеризует, а второй называет лицо.",comparison_m,"Отличие состоит в том, что нарицательное существительное, как правило, дает представление о роде деятельности номинируемого персонажа, например: Physician Vilbert («Лекарь Вилберт»), Farmer Oak («Фермер Оук») - герои романов Т. Гарди «Джуд Незаметный» и «Вдалеке от обезумевшей толпы».",ling_52.pkl,отличие состоит в,,нет,да характеризует-дает представление,нет,нет,нет,2,,наука,,,
,"но в английском - это переосмысленное словосочетание с ярко выраженным положительно-оценочным компонентом значения. Примером подобной единицы с отрицательной оценкой является The Son of the Witless («Сын Дурака») - прозвище раба Вамбы из того же романа «Айвенго». Это не просто прозвище, это своего рода клеймо, налагаемое на его носителя теми, чей статус и социальное положение значительно выше. Но номинируемое лицо не только знает о своем прозвище, оно использует его не менее активно, чем сами создатели, представляется им, идентифицируя его с самим именем. Это тоже тенденция, свойственная той эпохе, и она сполна находит отражение в романе.",comparison_m,"В русском варианте исчезают метафоричность и осложненность единицы,",ling_52.pkl,но,параллелизм,да ярко-исчезать,нет,нет,нет,антонимия быть не быть,2,,наука,,контраст,
