№/название текста,Id,Контекст,Ядро,№,Сателлит/Ядро-2,№,Тип отношения,Маркер,"""Доп. комп-ты"" маркера",Антонимы,Синонимы,Повторы,Гипонимы/гиперонимы,NKRYA: yes/no/nm,rusgram: yes/no/nm,verb/noun/preposition/adverb/adverbial/conjunction/lexfunc,w/mwu/nm,prim/sec/punct/nm,marker in Nuc=1/Sat=2,clause initial / clause internal/nm (marker position),sent initial /no/nm (marker position),???discontinuity,межсент/ межклауз/внутриклауз,"Отрицание, как","Отрицание, где",ana/nd,Nucl=this/that/what/nd/,Sat=this/that/what/nd/,Количество ЭДЕ в 1,Количество ЭДЕ во 2,order of nucleus: 1/2,order of sattelite,Nucl=ind/compl+ind/conv/part/nmz/N/NP,Sat=ind/compl+ind/conv/part/nmz/N/NP,жанр
64,148,"что он не имел даже фельдшерского образования. Для современной медицины важно не только и не столько то, когда зародились тот или иной метод или средство и как это все называть, а их суть и опыт применения (не только позитивный). ##### ФИТОТЕРАПИЯ СЕГОДНЯ.","не только и не столько то, когда зародились тот или иной метод или средство и как это все называть,",62,а их суть и опыт применения (не только позитивный).,63,Contrast,не только... а,"*и не столько, не только",нет,нет,нет,нет,,,,,,двойной,да,,,межклауз,,,,,,1,1,,,,,новости
65,149,"Причина проста: финансовый кризис Лишил его валютных резервов, а без них наш главный банк - лишь контора по производству инструкций. Получив закон, ЦБ приступил к массированной закупке валюты у экспортеров.","финансовый кризис Лишил его валютных резервов,",9,а без них наш главный банк - лишь контора по производству инструкций.,10,Contrast,а,-,нет,нет,нет,нет,,,,,,2,да,,,межклауз,,,,,,1,1,,,,,новости
65,150,"стало неуютно отгонять деньги за рубеж по-серому. Побаиваются власти. Хочется по-белому - культурно, прилично. Но даже это сделать будет нелегко. Поскольку на Западе под любыми предлогами препятствуют открытию таких счетов.","Хочется по-белому - культурно, прилично.",110,Но даже это сделать будет нелегко.,111,Contrast,но,"даже, это",нет,нет,нет,нет,,,,,,2,да,,,межсент,не ,2,,,,1,1,,,,,новости
65,151,"Но даже это сделать будет нелегко. Поскольку на Западе под любыми предлогами препятствуют открытию таких счетов. ""Съесть-то он съест, да кто ж ему даст""? Именно так.","""Съесть-то он съест,",113,"да кто ж ему даст""?",114,Contrast,да,ж,нет,нет,нет,нет,,,,,,2,да,,,межклауз,,,,,,1,1,,,,,новости
65,152,"которое до сих пор не вернуло ему более $6 млрд. ##### Казалось бы, чего еще желать. Но в экономике все имеет свою цену. Откупая валюту с рынка, ЦБ запускает в хозяйство дополнительные рубли.","##### Казалось бы, чего еще желать.",18,Но в экономике все имеет свою цену.,19,Contrast,но,-,нет,нет,нет,нет,,,,,,2,да,,,межсент,nd,nd,,,,1,1,,,,,новости
65,153,"Откупая валюту с рынка, ЦБ запускает в хозяйство дополнительные рубли. Их количество зависит от потока экспортной выручки, прежде всего от объема нефтедолларов. А не от того, сколько денег нужно экономике. Так что возможен перебор.","Их количество зависит от потока экспортной выручки, прежде всего от объема нефтедолларов.",22,"А не от того, сколько денег нужно экономике.",23,Contrast,а,тот,нет,да (выручка-деньги),нет,нет,,,,,,2,да,,,межклауз,,,,,,1,1,,,,,новости
65,154,"Если экспортер заработал валюту, то в принципе должен иметь возможность распорядиться ею по собственному усмотрению. А ему не дают. Наконец, обязательная продажа валютной выручки - норма все же экзотическая. Применяется разве что на пространствах СНГ.","Если экспортер заработал валюту, то в принципе должен иметь возможность распорядиться ею по собственному усмотрению.",30-31,А ему не дают.,32,Contrast,а,-,нет,нет,нет,нет,,,,,,2,да,,,межсент,,,,,,2,1,,,,,новости
65,155,"расход побольше. Может быть, и тройную. Хотя правительство наотрез отказывается занимать у ЦБ для платежей по внешнему долгу, трудно сказать, как пойдут дела в будущем. Ну а если припрет?","Хотя правительство наотрез отказывается занимать у ЦБ для платежей по внешнему долгу,",70,"трудно сказать, как пойдут дела в будущем.",71,Contrast,хотя,-,нет,нет,нет,нет,,,,,,1,да,,,межклауз,,,,,,1,1,,,,,новости
65,156,"В начале этого года Турция располагала резервами на уровне $20 млрд. Тоже рухнула вместе со своей лирой. Нынешние валютные резервы России, конечно, побольше. Но не намного. Что происходит,","Нынешние валютные резервы России, конечно, побольше.",81,Но не намного.,82,Contrast,но,-,нет,нет,нет,да (побольше-не намного),,,,,,2,да,,,межсент,не,2,,,,1,1,,,,,новости
66,157,"##### Мушарраф и его политические союзники попытались приспособиться к данной новой реальности, но их терпение иссякло, когда Верховный суд принял к рассмотрению петиции против решения Мушаррафа участвовать в президентских выборах.","##### Мушарраф и его политические союзники попытались приспособиться к данной новой реальности,",52,"но их терпение иссякло, когда Верховный суд принял к рассмотрению петиции против решения Мушаррафа участвовать в президентских выборах.",53-54,Contrast,но,-,да *квази (пытаться-терпение иссякло),нет,нет,нет,,,,,,2,да,,,межклауз,nd,nd,,,,1,2,,,,,новости
66,158,"(первоначально провозглашённой в 1973 г. законно избранным парламентом), лицо, занимающее военную должность, не может участвовать в выборах. Мушарраф не был готов отдать свою военную должность, но хотел быть ещё и гражданским лицом - президентом. Несмотря на обещания оставить свою военную должность,","Мушарраф не был готов отдать свою военную должность,",58,но хотел быть ещё и гражданским лицом - президентом.,59,Contrast,но,еще и ,да (гражданский-военный),нет,нет,нет,,,,,,2,да,,,межклауз,не,1,,,,1,1,,,,,новости
66,159,"Вместо того, чтобы признать свою ответственность за ухудшение безопасности в стране (о чём свидетельствуют регулярные взрывы террористов-смертников) и за усиление талибанизации контролируемых племенами районов, Мушарраф попытался взвалить вину на судебную систему и средства информации. Действительно, в некоторых случаях активность судебной системы была очевидна (хотя она находился в рамках конституционного права)","Вместо того, чтобы признать свою ответственность за ухудшение безопасности в стране (о чём свидетельствуют регулярные взрывы террористов-смертников) и за усиление талибанизации контролируемых племенами районов,",73-75,Мушарраф попытался взвалить вину на судебную систему и средства информации.,76,Contrast,вместо X,-,нет,да (ответственность-вина),нет,нет,,,,,,1,да,,,межсент,,,,,,3,1,,,,,новости
66,160,"Действительно, в некоторых случаях активность судебной системы была очевидна (хотя она находился в рамках конституционного права) , да и средства информации делали ошибки; но поверить в то, что подобные действия могут быть связаны с религиозным экстремизмом и поддержкой военного восстания невозможно. ##### Маловероятно, что последний манёвр Мушаррафа будет успешным,","Действительно, в некоторых случаях активность судебной системы была очевидна (хотя она находился в рамках конституционного права) , да и средства информации делали ошибки;",77-79,"но поверить в то, что подобные действия могут быть связаны с религиозным экстремизмом и поддержкой военного восстания невозможно.",80,Contrast,но,дествительно,нет,нет,нет,нет,,,,,,2,да,,,межсент,невозможно,2,,,,3,1,,,,,новости
68,161,"##### Нынешнее время для моих коллег и для меня - это время непрерывной напряжённой работы по расширению участия населения в жизни страны и региона. На данном этапе мы не можем судить о том, как будут развиваться события дальше. Всё на свете кажется возможным. Тем не менее, хочется думать, что Сирия вступает в новый период, и эпоха, грехи которой лежат на всех нас, подходит к концу.",Всё на свете кажется возможным.,65,"тем не менее, хочется думать, что Сирия вступает в новый период, и эпоха, грехи которой лежат на всех нас, подходит к концу.",66-67,Contrast,тем не менее,-,нет,нет,нет,нет,,,,,,2,да,,,межсент,,,,,,1,2,,,,,новости
69,162,"##### Да, Сирия и Иран играют важную роль в поддержке иракских повстанцев, и Сирия по-прежнему поощряет переброску боевиков-исламистов и оружия по всей ее границе с Ираком. Но идея о том, что эту деятельность можно остановить волевым решением – наивна. ##### Во-первых, интересы шиитских сообществ в Ираке и Иране не совпадают. Иракские шииты никогда не подчинялись иранскому диктату,","Да, Сирия и Иран играют важную роль в поддержке иракских повстанцев, и Сирия по-прежнему поощряет переброску боевиков-исламистов и оружия по всей ее границе с Ираком.",19-20,"Но идея о том, что эту деятельность можно остановить волевым решением – наивна.",21,Contrast,но,-,нет,нет,нет,нет,,,,,,2,да,,,межсент,nd,nd,,,,2,1,,,,,новости
70,163,"который все еще привлекает народ Ближнего Востока и может сильно помочь в борьбе западных держав за то, чтобы завоевать умы и души в нашем регионе. ##### “План свободы” Америки не является причиной ее сегодняшних мучений на Ближнем Востоке. Проблемой было отсутствие последовательности в продвижении этого плана, неспособность получить более широкую международную поддержку для этого плана и поведение самих США, которые представили его скорее как военный план, а не План Маршалла.",##### “План свободы” Америки не является причиной ее сегодняшних мучений на Ближнем Востоке.,29,"Проблемой было отсутствие последовательности в продвижении этого плана, неспособность получить более широкую международную поддержку для этого плана и поведение самих США, которые представили его скорее как военный план, а не План Маршалла.",30-31,Contrast,no marker,-,нет,нет,да(план),нет,,,,,,-,-,,,межсент,,,,,,1,2,,,,,новости
70,164,"и ему нужно эффективно противостоять, чтобы предотвратить образование новых фронтов в войне с террором. ##### Правда, план свободы не изменит отношение людей в один миг, но если следовать ему последовательно в течение долгого времени с двупартийной поддержкой в США – и более постоянной поддержкой в Европе – у него будет шанс добиться серьезных успехов.","##### Правда, план свободы не изменит отношение людей в один миг,",43,но если следовать ему последовательно в течение долгого времени с двупартийной поддержкой в США – и более постоянной поддержкой в Европе – у него будет шанс добиться серьезных успехов.,44-46,Contrast,но,-,нет,нет,нет,нет,,,,,,2,да,,,межклауз,не,1,,,,1,3,,,,,новости
70,165,"– и более постоянной поддержкой в Европе – у него будет шанс добиться серьезных успехов. ##### Здесь много “если”, но активисты, которые поддерживают демократию, могут лишь жить надеждой или, как выразился покойный сирийский драматург Сааделлах Ваннус, они обречены надеяться.","##### Здесь много “если”,",47,"но активисты, которые поддерживают демократию, могут лишь жить надеждой или, как выразился покойный сирийский драматург Сааделлах Ваннус, они обречены надеяться.",48-52,Contrast,но,лишь,нет,нет,нет,нет,,,,,,2,да,,,межклауз,nd,nd,,,,1,4,,,,,новости
71,166,"##### Переговоры в этом году в Вене при посредничестве ООН показали, что соглашения между Косово и Сербией по ""окончательному статусу"" Косово не будет. Переговоры продолжаются, но, как дипломатично сообщил Совету Безопасности представитель ООН на переговорах и бывший президент Финляндии Мартти Ахтисаари, пользы от них практически нет.","Переговоры продолжаются,",13,"но, как дипломатично сообщил Совету Безопасности представитель ООН на переговорах и бывший президент Финляндии Мартти Ахтисаари, пользы от них практически нет.",14-16,Contrast,но,-,нет,да (переговоры-дипломатично),нет,нет,,,,,,2,да,,,межклауз,нет,2,,,,1,3,,,,,новости
71,167,"и, возможно, направит свое предложение в Совет Безопасности, который должен принять окончательное решение. Публично все члены Контактной группы стараются оставить вопрос об окончательном статусе Косово открытым, но неофициально США и некоторые их союзники сообщили, что предложат провозгласить независимость Косово в текущем году.","Публично все члены Контактной группы стараются оставить вопрос об окончательном статусе Косово открытым,",39,"но неофициально США и некоторые их союзники сообщили, что предложат провозгласить независимость Косово в текущем году.",40-41,Contrast,но,-,нет,нет,нет,нет,,,,,,2,да,,,межклауз,неофициально,2,,,,1,2,,,,,новости
72,168,"##### Три недели тому назад в Совете Безопасности ООН Россия опять настаивала на том, что любое соглашение требует одобрения Сербии и Косово и что необходимы дальнейшие переговоры. Россия прекрасно понимает, что такие переговоры будут безрезультатными, но считает, что еще один казалось бы невинный призыв к дальнейшим переговорам поколеблет единство ЕС, что, по-видимому, является главной целью Путина.","Россия прекрасно понимает, что такие переговоры будут безрезультатными,",11,"но считает, что еще один казалось бы невинный призыв к дальнейшим переговорам поколеблет единство ЕС, что, по-видимому, является главной целью Путина.",12-13,Contrast,но,-,да (безрезультатный-цель),нет,да (переговоры),нет,,,,,,2,да,,,межклауз,невинный,2,,,,1,2,,,,,новости
72,169,"Многие утверждали, что Кремль старается отсрочить неизбежное, но в конечном счете не станет чинить препятствий независимости. Сегодня, в последнюю минуту Россия остается верна своей обструкционистской позиции, а президентские выборы в марте, скорее всего, только усилят антизападные настроения.","Многие утверждали, что Кремль старается отсрочить неизбежное,",19-20,но в конечном счете не станет чинить препятствий независимости.,21,Contrast,но,в конечном счете,нет,нет,нет,нет,,,,,,2,да,,,межклауз,не,2,,,,2,1,,,,,новости
74,170,"которые, несомненно, ожидают, что получат существенную долю власти в секторе Газа после ухода израильтян. Возобновят ли вооруженные группы свою борьбу против Израиля, или же палестинские власти примут меры по нейтрализации этих нападений или противодействию им? До какой степени «Фатх», – светское движение, возглавляемое палестинским президентом Аббасом, –","Возобновят ли вооруженные группы свою борьбу против Израиля,",9,или же палестинские власти примут меры по нейтрализации этих нападений или противодействию им?,10,Contrast,или,же,нет,нет,нет,нет,,,,,,2,да,,,межклауз,,,,,,1,1,,,,,новости
74,171,"То, как палестинцы захотят отреагировать на эти изменившиеся обстоятельства, вполне может определить, действительно ли они наконец добьются создания независимого государства. Так что этот момент может оказаться самым значительным шансом для палестинцев. Или, говоря словами Аббы Эбана, это может быть еще один шанс упустить свой шанс.",Так что этот момент может оказаться самым значительным шансом для палестинцев.,3,"Или, говоря словами Аббы Эбана, это может быть еще один шанс упустить свой шанс.",4-6,Contrast,или,-,нет,нет,да (шанс),нет,,,,,,2,да,,,межсент,,,,,,1,3,,,,,новости
77,173,"В любом случае, горячих блюда только два в день, на завтрак заключенные получают или что-нибудь вроде хлопьев, или немного денег, чтобы купить себе завтрак по вкусу. На обед и ужин обычно бывает большой выбор из четырех-пяти блюд, но делать его надо на неделю вперед. Еда получается очень дешевой,","На обед и ужин обычно бывает большой выбор из четырех-пяти блюд,",107,но делать его надо на неделю вперед.,108,Contrast,но,-,нет,нет,нет,нет,,,,,,2,да,,,межклауз,nd,nd,,,,1,1,,,,,новости
77,174,"Я смог разглядеть происходящее, только когда прокрутил запись в обратную сторону. Подглядывание это вполне заменяет тюремщикам наркотики после работы их буквально тошнит, но к процессу этому они настолько привыкают, что мало кто решается искать другую работу.","Подглядывание это вполне заменяет тюремщикам наркотики после работы их буквально тошнит,",136,"но к процессу этому они настолько привыкают, что мало кто решается искать другую работу.",137-138,Contrast,но,"этот; настолько, что, буквально",да *квази (тошнить-привыкать),нет,да (работа),нет,,,,,,2,да,,,межклауз,nd,nd,,,,1,2,,,,,новости
77,175,"При входе в тюрьму категории А всех обязательно обыскивают, там содержится небольшое число заключенных, но на них приходится много работников тюрьмы, значительно лучше оборудована охрана внешних стен. А, вот, тюрьма категории D это так называемая открытая тюрьма,","там содержится небольшое число заключенных,",68,"но на них приходится много работников тюрьмы,",69,Contrast,но,-,нет,нет,нет,нет,,,,,,2,да,,,межклауз,nd,nd,,,,1,1,,,,,новости
78,176,"Тибетский город Лхаса вполне обжит, хотя лежит он на высоте около 4 км. В здешнем воздухе содержится всего 62 процента от количества кислорода на уровне моря, но люди, рожденные в горах, не чувствуют дискомфорта. Генетическая форма адаптации возникла в процессе эволюции, в течение жизни многих поколений.","В здешнем воздухе содержится всего 62 процента от количества кислорода на уровне моря,",114,"но люди, рожденные в горах, не чувствуют дискомфорта.",115,Contrast,но,всего,нет,нет,нет,нет,,,,,,2,да,,,межклауз,не,2,,,,1,1,,,,,новости
78,177,"В здешнем воздухе содержится всего 62 процента от количества кислорода на уровне моря, но люди, рожденные в горах, не чувствуют дискомфорта. Генетическая форма адаптации возникла в процессе эволюции, в течение жизни многих поколений. Приобретенная форма адаптации возникает в течение жизни индивидуума, например, при переселении в иную климатическую зону. ##### Сложнее обстоит дело с адаптацией к экстремальным климатическим условиям.","Генетическая форма адаптации возникла в процессе эволюции, в течение жизни многих поколений.",116,"Приобретенная форма адаптации возникает в течение жизни индивидуума, например, при переселении в иную климатическую зону.",117,Contrast,no marker,,да (генетический-приобретенный),,"да (форма адаптации, в течение жизни)",нет,,,,,,-,,,,межсент,,,,,,1,1,,,,,новости
78,178,"##### Благодаря наблюдениям, сделанным участниками проекта, можно получить представление об общих моделях самочувствия при той или иной синоптической ситуации. Например, в ясную теплую погоду человек чувствует прилив сил, подъем настроения. А когда собираются облака, чувство комфорта исчезает, и организм может резко отреагировать на употребление алкоголя или лекарств. Гроза настраивает человека на депрессию. В городах перед грозой даже здоровые люди плохо себя чувствуют, нервничают, им трудно дышать, появляются обильное потоотделение и головная боль. Сильные приступы удушья наблюдаются у астматиков.","Например, в ясную теплую погоду человек чувствует прилив сил, подъем настроения.",51,"А когда собираются облака, чувство комфорта исчезает, и организм может резко отреагировать на употребление алкоголя или лекарств. Гроза настраивает человека на депрессию. В городах перед грозой даже здоровые люди плохо себя чувствуют, нервничают, им трудно дышать, появляются обильное потоотделение и головная боль. Сильные приступы удушья наблюдаются у астматиков.",52-60,Contrast,а,даже,нет,нет,нет,нет,,,,,,2,да,,,межсент,,,,,,1,9,,,,,новости
78,179,"а ряд снотворных менее эффективен в жару. Анестезиологи отмечают, что влияние наркоза колеблется в зависимости от того, светит солнце или небо затянуто облаками. В дни, когда барометрическое давление падает, люди забывчивы","что влияние наркоза колеблется в зависимости от того, светит солнце",71,или небо затянуто облаками.,72,Contrast,или,-,нет,нет,нет,нет,,,,,,2,да,,,межклауз,,,,,,1,1,,,,,новости
78,180,"каждый третий россиянин в возрасте старше 30 лет реагирует тем или иным образом на резкие изменения погоды. Таких людей обычно называют метеолабильными или метеочувствительными. Конечно же, сама по себе метеочувствительность не болезнь, но она порой может сыграть с человеком злую шутку. Помимо состояния дискомфорта, которое люди испытывают от капризов погоды,","Конечно же, сама по себе метеочувствительность не болезнь,",8,но она порой может сыграть с человеком злую шутку.,9,Contrast,но,порой,нет,нет,нет,нет,,,,,,2,да,,,межклауз,не,1,,,,1,1,,,,,новости
78,181,"##### Адаптация к жизни. ##### Рассказывает Елена Головина: ""Процесс эволюции всего живого сопровождается биологически целесообразными морфофизиологическими изменениями строения и функций организма. Однако возможность совершенствования естественных функций и органов живого не беспредельна. Такие антропологические показатели, как рост, масса, общая поверхность тела, а также интенсивность процессов жизнедеятельности, ограничиваются не только биологическими закономерностями, но и гравитационными, энергетическими, термическими и другими климатогеографическими и геофизическими факторами. Так, наблюдения показывают, что одним из способов приспособления к климату является размер тел живых организмов"". Средняя масса людей, постоянно живущих в тех или иных климатических зонах, тем меньше, чем выше температура окружающей среды. У жителей Финляндии средняя масса 69,3 кг, у монголов и жителей Северного Китая - 55,8, а у вьетнамцев - всего 50,4 кг. Наименьший рост и массу имеют жители экваториальных областей. Так, мужчина бушмен из пустыни Калахари весит в среднем 40 кг.","""Процесс эволюции всего живого сопровождается биологически целесообразными морфофизиологическими изменениями строения и функций организма.",83,"Однако возможность совершенствования естественных функций и органов живого не беспредельна. Такие антропологические показатели, как рост, масса, общая поверхность тела, а также интенсивность процессов жизнедеятельности, ограничиваются не только биологическими закономерностями, но и гравитационными, энергетическими, термическими и другими климатогеографическими и геофизическими факторами. Так, наблюдения показывают, что одним из способов приспособления к климату является размер тел живых организмов"". Средняя масса людей, постоянно живущих в тех или иных климатических зонах, тем меньше, чем выше температура окружающей среды. У жителей Финляндии средняя масса 69,3 кг, у монголов и жителей Северного Китая - 55,8, а у вьетнамцев - всего 50,4 кг. Наименьший рост и массу имеют жители экваториальных областей. Так, мужчина бушмен из пустыни Калахари весит в среднем 40 кг.",84-93,Contrast,однако,-,нет,нет,нет,нет,,,,,,2,да,,,межсент,,,,,,1,9,,,,,новости
79,182,"Хорошо, друзья оказались рядом и сумели быстро освободить коллегу из снежного плена. ##### И все же, несмотря на все трудности и неудобства, которые можно встретить в горах, спелеологи считают, что самые красивые места, которые можно встретить на планете, находятся именно в пещерах.","##### И все же, несмотря на все трудности и неудобства, которые можно встретить в горах,",,"спелеологи считают, что самые красивые места, которые можно встретить на планете, находятся именно в пещерах.",,Contrast,несмотря на X,-,нет,нет,нет,нет,,,,,,1,да,,,межклауз,,,,,,1,2,,,,,новости
79,183,"##### Обычно именно так, поэтапно, и проходит исследование пещер. Иногда результатом нескольких экспедиций может стать тупиковая галерея, а порой можно наткнуться на небольшое окно в стене колодца, которое затем станет началом нового пути. ""Пещера пошла"" , - говорят спелеологи в такой ситуации.","Иногда результатом нескольких экспедиций может стать тупиковая галерея,",51,"а порой можно наткнуться на небольшое окно в стене колодца, которое затем станет началом нового пути. ""Пещера пошла"" , - говорят спелеологи в такой ситуации.",52-54,Contrast,а,порой,нет,да (иногда-порой),нет,нет,,,,,,2,да,,,межклауз,,,,,,1,3,,,,,новости
3,184,"– если бы только это было в России. Именно так выглядит, например, банкротство хлебозавода в Огре. Все помнят вкус рижского хлеба и те, кому посчастливилось побывать в Латвии в последние десять лет, знают, что «Кисло-сладкий», «Ржаной» и прочие разновидности местного хлеба, несмотря на относительную дороговизну, лучше и вкуснее самых дорогих импортных сортов хлеба в супермаркетах премиум-класса («Азбука вкуса», «Седьмой континент» и т.п.).","Все помнят вкус рижского хлеба и те, кому посчастливилось побывать в Латвии в последние десять лет, знают, что «Кисло-сладкий», «Ржаной» и прочие разновидности местного хлеба, лучше и вкуснее самых дорогих импортных сортов хлеба в супермаркетах премиум-класса («Азбука вкуса», «Седьмой континент» и т.п.).",50,"несмотря на относительную дороговизну,",51,Concession,несмотря на X,-,,,,,,,,,,2,да,,,межклауз,,,,,,3,1,,,,,новости
7,185,"##### Геометрическая толщина кольца ε достоверно неизвестна, хотя, по некоторым оценкам, составляет примерно 150 метров. Несмотря на столь малую толщину, кольцо состоит из нескольких слоёв частиц. Кольцо ε — достаточно «переполненное место» с коэффициентом заполнения оценённым различными источниками от 0,008 до 0,06 вблизи апоцентра.>",кольцо состоит из нескольких слоёв частиц.,156,"Несмотря на столь малую толщину,",155,Concession,несмотря на X,-,,,,,,,,,,2,да,,,межклауз,,,,,,1,1,,,,,новости
8,186,"##### Несмотря на то, что российский медиарынок на порядок отстаёт от американского, издатели отечественной прессы единодушны: планшетный компьютер iPad, который ещё даже не продаётся в РФ легально,","издатели отечественной прессы единодушны: планшетный компьютер iPad, который ещё даже не продаётся в РФ легально, даёт отрасли новую надежду на выживание, которая больше похожа на ту самую спасительную соломинку.",2-5,"##### Несмотря на то, что российский медиарынок на порядок отстаёт от американского,",1,Concession,несмотря на X,то что,,,,,,,,,,2,да,,,межклауз,,,,,,4,1,,,,,новости
8,187,"Представители издательств, сопутствующих бизнесов и дистрибуторов прессы в интернете единодушно признали важность нового цифрового устройства и его перспективность для рынка. Их даже не смутило то, что пока, по приблизительным оценкам, в Россию завезено около 90 тыс. этих устройств — причём все условно нелегально:",в Россию завезено около 90 тыс. этих устройств — причём все условно нелегально:,9-10,"Их даже не смутило то, что пока, по приблизительным оценкам,",8,Concession,даже,пока,,,,,,,,,,2,нет,,,межклауз,не,2,,,,2,1,,,,,новости
10,188,"##### Тем не менее раннее творчество Rammstein не вызывало столь критичного отношения со стороны государственных органов, несмотря на присутствие в нём темы сексуального насилия.","##### Тем не менее раннее творчество Rammstein не вызывало столь критичного отношения со стороны государственных органов,",21,несмотря на присутствие в нём темы сексуального насилия.,22,Concession,несмотря на X,-,,,,,,,,,,2,да,,,межклауз,не,1,,,,1,1,,,,,новости
15,189,"##### Хотя англосаксы считаются (точнее, провозглашают себя) некими оплотами классической демократии, их избирательные системы весьма своеобразны. Например, американская система выборщиков, из-за которой кандидат в президенты может получить больше голосов, чем его оппонент,",их избирательные системы весьма своеобразны.,,"Хотя англосаксы считаются (точнее, провозглашают себя) некими оплотами классической демократии,",11-13,Concession,хотя,-,,,,,,,,,,2,да,,,межклауз,,,,,,1,2,,,,,новости
